"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","workerId","interview_date","handedness","version","difficulty","max_strikes","max_streaks","index","deck_contingencies","streak","strike","key_press","reward_type","reversal_type","reward_tally","rating_random","rating_sabotage"
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","110","83083","0.0-9.0-0.31","","","","","","","","","","","","","","","","",""
"249","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","2","html-keyboard-response","111","83335","0.0-9.0-1.31","","","","","","","","","","","","","","","","",""
"249","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/avatar/0/red.png'>
                    <img class='stimuli-middle' src='stim/outcome/scaled_lose.jpg'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","2","html-keyboard-response","112","84338","0.0-9.0-2.31","333","02/20/2024","","sabotage","easy-hard","2","9","32","[0.9,0.5,0.1]","0","2","50","","false","2000","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","113","84840","0.0-9.0-0.32","","","","","","","","","","","","","","","","",""
"243","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","114","85351","0.0-9.0-1.32","","","","","","","","","","","","","","","","",""
"243","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","115","86354","0.0-9.0-2.32","333","02/20/2024","","sabotage","easy-hard","2","9","33","[0.9,0.5,0.1]","1","2","49","","false","2100","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","116","86855","0.0-9.0-0.33","","","","","","","","","","","","","","","","",""
"310","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/avatar/0/red.png'>
                <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                <img class='stimuli-right' src='stim/avatar/0/black.png'>
            </div>","1","html-keyboard-response","117","87168","0.0-9.0-1.33","","","","","","","","","","","","","","","","",""
"310","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/outcome/scaled_win.jpg'>
                    <img class='stimuli-middle' src='stim/avatar/0/blue.png'>
                    <img class='stimuli-right' src='stim/avatar/0/black.png'>
                </div>","1","html-keyboard-response","118","88172","0.0-9.0-2.33","333","02/20/2024","","sabotage","easy-hard","2","9","34","[0.9,0.5,0.1]","2","2","49","","false","2200","",""
"null","<div style='font-size:40px'>+</div>","null","html-keyboard-response","119","88674","0.0-9.0-0.34","","","","","","","","","","","","","","","","",""
